ID,Segment ID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
125,9014615,East Fordham Road,Southern Boulevard,Bronx River Parkway,WB,09/14/2014,880,776,529,434,390,343,449,670,944,1119,1521,1729,1713,1739,1807,1856,1779,1839,1742,1696,1625,1209,945,723
127,262252,East Mosholu Parkway,Grand Concourse,Van Courtlandt Avenue East,SB,09/14/2014,50,57,38,30,35,31,23,34,38,41,67,76,89,76,105,104,120,115,100,131,127,77,66,44
128,133710,East Tremont Avenue,Anthony Avenue,Monroe Avenue,EB,09/14/2014,145,120,119,100,89,63,49,64,93,91,139,169,163,204,214,234,226,249,272,258,229,195,149,98
128,133711,East Tremont Avenue,Anthony Avenue,Monroe Avenue,WB,09/14/2014,197,168,142,102,116,93,76,96,115,162,222,264,241,256,283,305,293,302,288,271,280,227,186,151
138,111203,Exterior Street,East 138 Street,East 135 Street,SB,09/14/2014,783,665,497,417,450,375,519,665,723,824,903,1031,1148,1228,1404,1444,1419,1327,1330,1249,1230,1037,836,652
162,176277,Grand Concourse,184 Street,187 Street,NB,09/14/2014,290,264,204,162,169,128,109,103,150,205,237,260,360,374,463,496,479,496,488,504,464,351,294,211
162,176277,Grand Concourse,184 Street,187 Street,SB,09/14/2014,306,182,146,140,168,118,136,186,204,234,301,378,401,428,468,527,519,480,489,477,434,354,274,214
165,146046,Harlem River Driveway,Dyckman Street,Amsterdam Avenue,SB,09/14/2014,351,295,251,238,291,202,292,274,341,393,445,508,534,591,598,369,510,536,316,571,616,505,378,311
165,155099,Harlem River Driveway,Dyckman Street,Amsterdam Avenue,NB,09/14/2014,350,338,248,194,197,172,153,181,221,267,366,455,462,554,547,601,570,525,594,519,510,494,360,319
166,132490,Henry Hudson Parkway,Dyckman Street,Henry Hudson Bridge,SB,09/14/2014,1062,534,299,208,160,108,164,359,578,839,1222,1599,1734,1925,1776,2158,2706,2524,2250,1819,1706,1377,850,434
166,189377,Henry Hudson Parkway,Dyckman Street,Henry Hudson Bridge,NB,09/14/2014,395,209,95,97,94,178,382,623,1038,1671,2278,2524,2541,2276,2124,2196,2300,2502,2269,1896,1605,1060,616,263
167,9008507,Henry Hudson Parkway,Netherland Avenue,Johnson Avenue,NB,09/14/2014,903,395,226,163,131,94,209,444,683,972,1409,1783,1858,1947,1835,2254,2737,2428,2131,1693,1538,1201,723,380
167,9008505,Henry Hudson Parkway,Netherland Avenue,Johnson Avenue,SB,09/14/2014,348,171,82,82,92,198,442,697,1093,1730,2246,2455,2400,2092,2095,2198,2317,2510,2189,1838,1512,975,526,223
169,143872,Hutchinson River Parkway,Bartow Avenue,New England Thruway,SB,09/14/2014,1122,666,396,282,276,384,691,1157,1712,2312,2679,2869,2826,2718,2544,2870,2823,2781,2737,2605,2531,2245,1647,967
169,143873,Hutchinson River Parkway,Bartow Avenue,New England Thruway,NB,09/14/2014,864,541,318,229,277,433,824,1078,1303,1550,2542,3044,3327,3225,3153,3035,3162,3280,3225,2888,2739,1942,1327,726
170,9008891,Hutchinson River Parkway,Boller Avenue,Einstein Loop SB,NB,09/14/2014,1369,824,507,391,381,524,954,1489,2157,2893,3284,3538,3678,3747,3477,3838,3897,3711,3484,3334,3115,2801,2113,1296
170,9008895,Hutchinson River Parkway,Boller Avenue,Einstein Loop SB,SB,09/14/2014,1152,748,452,363,418,621,1083,1368,1701,2101,3152,3728,4061,4097,4049,4104,4160,4340,4430,3877,3625,2587,1874,1050
221,70220,Melrose Avenue,East 153 Street,East 154 Street,NB,09/14/2014,120,108,97,89,93,71,60,82,112,110,149,168,214,245,237,249,275,247,227,210,145,144,116,100
221,70220,Melrose Avenue,East 154 Street,East 153 Street,SB,09/14/2014,168,146,116,116,126,82,95,126,139,157,221,290,263,254,326,321,294,309,281,285,245,240,207,126
224,9003579,Morris Avenue,156 Street,Park Avenue,NB,09/14/2014,412,319,278,257,255,195,158,200,235,294,356,484,471,490,644,629,670,615,625,580,564,493,414,303
224,9003579,Morris Avenue,156 Street,Park Avenue,SB,09/14/2014,224,226,167,171,149,110,163,198,177,253,300,278,315,347,318,343,378,381,375,271,329,259,261,204
225,9001489,Morris Avenue,East 153 Street,East 156 Street,NB,09/14/2014,173,143,122,102,115,86,88,104,140,150,179,239,228,229,159,222,268,253,238,235,219,195,162,132
225,9001489,Morris Avenue,East 156 Street,East 153 Street,SB,09/14/2014,84,63,60,47,50,35,77,110,71,83,138,113,135,152,184,207,196,163,159,179,128,91,80,77
227,107183,Moshoulu Parkway,Van Courtlandt Avenue East,Grand Concourse,NB,09/14/2014,198,149,101,81,79,76,124,141,223,273,341,366,450,480,570,588,494,472,458,404,398,330,219,149
227,107183,Moshoulu Parkway,Van Courtlandt Avenue East,Grand Concourse,SB,09/14/2014,242,161,122,103,89,66,82,207,210,288,321,461,446,583,550,616,577,581,498,477,418,296,267,189
236,261726,Park Avenue,138 Street,135 Street,NB,09/14/2014,173,216,204,187,213,77,64,44,21,28,50,63,69,83,80,83,146,131,88,67,66,64,58,34
249,192425,Provost Avenue,East 233 Street,Westchester,SB,09/14/2014,71,54,43,28,34,48,40,74,90,133,200,175,184,230,219,233,183,179,164,165,140,98,82,56
249,192425,Provost Avenue,East 233 Street,Westchester,NB,09/14/2014,78,61,44,42,53,41,47,76,102,167,177,269,261,282,275,296,300,272,256,219,155,153,103,77
262,73436,Riverdale Avenue,West 238 Street,West 239 Street,NB,09/14/2014,94,64,45,34,54,29,52,127,171,219,270,252,83,312,310,311,311,298,300,284,218,172,113,81
262,73436,Riverdale Avenue,West 239 Street,West 238 Street,SB,09/14/2014,100,59,50,21,40,38,77,142,210,364,423,458,531,494,479,451,488,414,445,427,313,211,117,86
268,69696,River Avenue,East 150 Street,East 151 Street,NB,09/14/2014,81,69,52,58,54,37,42,56,76,143,184,238,270,299,336,353,402,315,308,261,168,147,104,66
268,69696,River Avenue,East 151 Street,East 150 Street,SB,09/14/2014,46,31,19,25,20,24,24,31,49,79,133,201,211,246,294,271,303,284,270,238,184,100,57,49
276,113134,Sedgwick Avenue,West Fordham Road,West 183 Street,SB,09/14/2014,204,101,104,104,92,59,77,68,116,146,174,212,266,340,332,408,399,463,484,472,365,238,209,65
276,113134,Sedgwick Avenue,West 183 Street,West Fordham Road,NB,09/14/2014,176,122,90,58,79,54,69,76,98,132,147,202,212,262,278,267,283,263,254,271,254,222,153,100
286,134461,Southern Boulevard,East Fordham Road,East Fordham Road,SB,09/14/2014,271,272,192,126,119,131,139,246,374,440,561,670,685,691,742,702,677,683,630,611,585,387,324,252
286,146666,Southern Boulevard,East Fordham Road,East Fordham Road,NB,09/14/2014,200,174,118,97,92,97,106,131,163,181,245,309,371,426,445,473,401,431,389,348,329,257,200,160
288,9001819,St. Anns Avenue,East 156 Street,Rae Street,SB,09/14/2014,74,58,32,40,29,13,34,40,47,89,107,86,120,109,116,119,110,119,124,116,102,96,61,43
288,9001819,St. Anns Avenue,Rae Street,East 156 Street,NB,09/14/2014,122,107,72,66,78,49,39,57,81,106,120,156,181,190,205,207,213,213,242,190,186,167,112,79
290,145927,Southern Boulevard,Mosholu Parkway,Bronx River Parkway,WB,09/14/2014,444,350,231,178,205,166,236,318,480,657,769,769,821,867,1075,987,911,887,931,904,849,675,541,327
290,145928,Southern Boulevard,Mosholu Parkway,Bronx River Parkway,EB,09/14/2014,479,335,268,208,208,178,209,346,389,539,687,809,851,918,966,1105,953,887,911,838,762,621,457,360
308,72881,University Heights Bridge Approach,Harlem River Shoreline,9 Avenue,WB,09/14/2014,952,1053,723,503,624,443,488,470,555,731,885,1058,1156,1308,1341,1311,1349,1209,1268,1210,1322,1112,895,729
308,72881,University Heights Bridge Approach,Harlem River Shoreline,9 Avenue,EB,09/14/2014,829,854,633,603,783,402,224,202,230,320,412,540,671,832,935,947,1059,1020,994,1077,981,1001,821,663
349,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/14/2014,379,320,299,243,214,185,168,174,172,237,244,357,387,464,456,422,478,400,393,448,428,367,330,259
349,8103575,White Plains Road,East 215 Street,East 216 Street,NB,09/14/2014,193,146,151,116,93,101,87,181,156,188,289,265,271,269,340,295,269,253,276,278,217,170,156,125
2,70376,3 Avenue,East 154 Street,East 155 Street,NB,09/15/2014,118,99,67,50,50,88,199,361,489,500,470,509,522,496,479,561,619,437,635,483,344,226,216,173
2,70376,3 Avenue,East 155 Street,East 154 Street,SB,09/15/2014,104,68,68,56,74,138,273,434,381,349,296,270,372,308,388,385,209,303,342,322,234,191,144,131
56,176365,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,EB,09/15/2014,59,53,40,20,39,57,118,346,338,236,213,207,282,273,308,392,352,383,328,329,364,240,120,98
56,176365,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,WB,09/15/2014,69,42,36,31,35,68,124,331,414,364,274,253,259,273,326,391,376,443,345,258,217,126,104,73
